Machtkampf in Bolivien - Staatssender besetzt, Polizei meutert;https://www.diepresse.com/5719721/Staatskrise_Machtkampf-in-Bolivien-Staatssender-besetzt-Polizei?from=rss;Auch Polizisten schließen sich den Protesten gegen den linken Präsidenten Evo Morales an. Gegner orten Wahlbetrug und fordern seinen Rücktritt. Zwei staatliche Sender wurden besetzt.;2019-11-10T08:47:00;POLITICS
Gesucht: Grün und regierungsfähig [premium];https://www.diepresse.com/5719565/Ministrabel_Gesucht_Gruen-und-regierungsfaehig?from=rss;Werner Kogler wird bei einer Regierungsbeteiligung der Grünen wohl Vizekanzler  aber welche Minister würden mit ihm regieren? Ein Who is Who der ministrablen Grünen: von Rudolf Anschober bis Ulrike Lunacek.;2019-11-10T08:01:00;POLITICS
VW startet Produktion des Elektroautos ID.3;https://www.diepresse.com/5716302/Massentauglich_VW-startet-Produktion-des-Elektroautos-ID3?from=rss;Im Werk Zwickau läuft heute die Fertigung des ersten reinen, relativ günstigen Elektroautos von Volkswagen an. Die ersten Kunden sollen den ID.3 ab Sommer 2020 bekommen.;2019-11-04T05:58:00;LIFESTYLE
E-Mobilität: Oberleitung auf der Autobahn;https://www.diepresse.com/5691452/EMobilitaet_Oberleitung-auf-der-Autobahn?from=rss;Auf einer Teststrecke in Deutschland sollen Hybrid-Lkw ihre Akkus während der Fahrt auf der Autobahn via Oberleitung laden.;2019-09-17T17:56:00;LIFESTYLE
Trumps Stabschef ignoriert Vorladung des Kongresses;https://www.diepresse.com/5719432/UkraineAffaere_Trumps-Stabschef-ignoriert-Vorladung-des-Kongresses?from=rss;Die US-Demokraten vermuten bei Mick Mulvaney substanzielles Insider-Wissen in der Affäre.;2019-11-09T11:52:00;POLITICS
E-Autos, weil man sie auch kann [premium];https://www.diepresse.com/5712338/EAutos-weil-man-sie-auch-kann?from=rss;Während in Europa viele glauben, das Elektroauto sei ohne Alternative, gehen Japans Autohersteller andere Wetten ein. Drei spannende Stromer stehen dennoch am Start.;2019-10-30T14:43:00;LIFESTYLE
Thiem und das Klassentreffen der Vorzugsschüler;https://www.diepresse.com/5718537/Thiem-und-das-Klassentreffen-der-Vorzugsschueler?from=rss;Dominic Thiem zählt 2019 zum vierten Mal in Folge zu den acht besten Spielern des Jahres. Obwohl die Gruppengegner Novak Djokovi und Roger Federer heißen, ist der Niederösterreicher zuversichtlich wie noch nie.;2019-11-07T17:37:00;SPORTS
Tesla-Chef Musk verkündet seinen Abschied von Twitter;https://www.diepresse.com/5715705/29-Millionen-Follower_TeslaChef-Musk-verkuendet-seinen-Abschied?from=rss;Nachdem ihm einige seiner Tweets ordentlich Ärger eingebracht haben, hat sich Tesla-Chef Elon Musk aus dem Kurzbotschaftendienst Twitter verabschiedet. Er sei sich nicht sicher, welchen Nutzen Twitter habe.;2019-11-02T09:08:00;TECH
Strafzinsen für Kunden;https://www.diepresse.com/5718542/Strafzinsen-fuer-Kunden?from=rss;Die Commerzbank lässt nun Privatkunden für Einlagen zahlen. Und sie kippt ihr Gewinnziel.;2019-11-07T17:37:00;ECONOMY
Diese fünf Wirtschaftsgeschichten sollten Sie gelesen haben;https://www.diepresse.com/5718980/Diese-fuenf-Wirtschaftsgeschichten-sollten-Sie-gelesen-haben?from=rss;Der Bund macht Überschüsse, bei der Voest kriselt es. Verkehrte Wirtschaftswelt also. In den Wirtshäusern darf nicht geraucht werden. Da ist viel passiert in den vergangenen Woche. Auch in der Notenbank gehts rund. Alles hier im Wochenrückblick des Economist.;2019-11-08T14:36:00;ECONOMY
Facebook überlegte Namensänderung - und hat ein neues Logo;https://www.diepresse.com/5716834/Facebook-ueberlegte-Namensaenderung-und-hat-ein-neues-Logo?from=rss;Wäre das Ansehen des Konzerns besser, wenn mehr Menschen wüssten, dass auch Instagram und WhatsApp zu Facebook gehören? Eine neue Markenstrategie soll das Unternehmen mit Großbuchstaben aus der Imagekrise führen.;2019-11-05T06:18:00;TECH
Dem Fehlpfiff folgt eine Gala-Vorstellung des Lask;https://www.diepresse.com/5718607/Europa-League_Dem-Fehlpfiff-folgt-eine-GalaVorstellung-des-Lask?from=rss;Die Linzer drehten Rückstand gegen PSV Eindhoven noch in einen 4:1-Sieg und haben damit im Aufstiegsrennen alle Trümpfe in der Hand.;2019-11-07T19:43:00;SPORTS
